,index,Net Income,Depreciation,Adjustments To Net Income,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditure,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Other Cash Flows from Financing Activities,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,"Property, plant and equipment",Goodwill,Intangible Assets,Other Assets,Deferred Long Term Asset Charges,Total Assets,Accounts Payable,Short/Current Long Term Debt,Other Current Liabilities,Total Current Liabilities,Long Term Debt,Other Liabilities,Deferred Long Term Liability Charges,Minority Interest,Total Liabilities,Common Stock,Retained Earnings,Treasury Stock,Capital Surplus,Other Stockholder Equity,Total stockholders' equity,Net Tangible Assets,Total Revenue,Cost of Revenue,Gross Profit,Research Development,Selling General and Administrative,Others,Total Operating Expenses,Operating Income or Loss,Total Other Income/Expenses Net,Earnings Before Interest and Taxes,Interest Expense,Income Before Tax,Income Tax Expense,Minority Interest,Net Income From Continuing Ops,Discontinued Operations,Net Income Applicable To Common Shares
0,MMM,5349000.0,1488000.0,-126000.0,-305000.0,408000.0,-509000.0,0.0,6439000.0,-1577000.0,669000.0,9000.0,222000.0,-3193000.0,0.0,933000.0,-56000.0,-6701000.0,-160000.0,-200000.0,2853000.0,380000.0,5123000.0,4366000.0,246000.0,13709000.0,207000.0,8738000.0,10051000.0,2657000.0,1138000.0,365000.0,36500000.0,2266000.0,759000.0,1869000.0,7244000.0,13428000.0,5905000.0,0.0,52000.0,26652000.0,9000.0,40636000.0,-36492000.0,5643000.0,-6866000.0,9796000.0,-2912000.0,32765000.0,16655000.0,16110000.0,1816000.0,7424000.0,0.0,25895000.0,6870000.0,130000.0,6870000.0,-350000.0,7000000.0,1637000.0,52000.0,5363000.0,0.0,5349000.0
1,ABT,2368000.0,3278000.0,802000.0,-190000.0,747000.0,-514000.0,23000.0,6300000.0,-1394000.0,-58000.0,48000.0,-1356000.0,-1974000.0,0.0,-8450000.0,0.0,-10391000.0,-116000.0,-5563000.0,3844000.0,242000.0,5182000.0,3796000.0,123000.0,14632000.0,590000.0,7563000.0,23254000.0,18942000.0,2192000.0,1868000.0,67173000.0,2975000.0,7000.0,868000.0,9012000.0,19359000.0,8080000.0,0.0,198000.0,36451000.0,23512000.0,24560000.0,-17548000.0,0.0,-7586000.0,30524000.0,-11672000.0,30578000.0,12659000.0,17919000.0,2288000.0,9531000.0,0.0,26656000.0,3922000.0,-1049000.0,3922000.0,-826000.0,2873000.0,539000.0,198000.0,2334000.0,34000.0,2353000.0
2,ABBV,5687000.0,1765000.0,7101000.0,-591000.0,190000.0,-226000.0,-499000.0,13427000.0,-638000.0,368000.0,0.0,-1006000.0,-5580000.0,0.0,3229000.0,-104000.0,-14396000.0,-39000.0,-2014000.0,7289000.0,772000.0,5872000.0,1605000.0,132000.0,16945000.0,1420000.0,2883000.0,15663000.0,21233000.0,1208000.0,0.0,59352000.0,1546000.0,1609000.0,5355000.0,17239000.0,35002000.0,15557000.0,0.0,0.0,67798000.0,18000.0,3368000.0,-26588000.0,14756000.0,-2480000.0,-8446000.0,-45342000.0,32753000.0,7718000.0,25035000.0,5259000.0,7365000.0,500000.0,20842000.0,11911000.0,-6714000.0,11911000.0,-1348000.0,5197000.0,-490000.0,0.0,5687000.0,0.0,5657000.0
3,ABMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ACN,4059907.0,593658.0,1233204.0,-710804.0,8882.0,0.0,324793.0,6026691.0,-619187.0,-61398.0,0.0,-1249604.0,-1671072.0,0.0,-4195.0,-133109.0,-3709028.0,-133559.0,934500.0,5061360.0,3192.0,7496368.0,0.0,1024639.0,13585559.0,215532.0,1264020.0,5383012.0,0.0,4000960.0,2086807.0,24449083.0,1348802.0,5337.0,3458595.0,10151751.0,19676.0,3553068.0,705124.0,359835.0,13724495.0,72.0,7952413.0,-2458496.0,4870764.0,-341548.0,10364753.0,4981741.0,39573450.0,27130537.0,12442913.0,0.0,6601872.0,0.0,33732409.0,5841041.0,-32948.0,5841041.0,-19539.0,5808093.0,1593499.0,359835.0,4214594.0,0.0,4059907.0
5,ATVI,1813000.0,509000.0,276000.0,-114000.0,-187000.0,-5000.0,-997000.0,1790000.0,-131000.0,-93000.0,-6000.0,-230000.0,-259000.0,0.0,-1740000.0,-26000.0,-2020000.0,-31000.0,-491000.0,4225000.0,150000.0,1035000.0,43000.0,653000.0,6106000.0,0.0,282000.0,9762000.0,800000.0,885000.0,403000.0,17835000.0,253000.0,0.0,1697000.0,2642000.0,2671000.0,1165000.0,0.0,0.0,6478000.0,0.0,6558000.0,-6164000.0,10963000.0,-601000.0,11357000.0,795000.0,7500000.0,2517000.0,4983000.0,1101000.0,1884000.0,0.0,5502000.0,1998000.0,-121000.0,1998000.0,-140000.0,1877000.0,64000.0,0.0,1813000.0,0.0,1813000.0
6,ADBE,2590774.0,346492.0,148612.0,-1983.0,499613.0,0.0,-33388.0,4029304.0,-266579.0,1895666.0,0.0,-4685295.0,0.0,0.0,2246635.0,0.0,-5568.0,-1738.0,-663297.0,1642775.0,1586187.0,1315578.0,0.0,44259.0,4857039.0,0.0,1075072.0,10581048.0,2069001.0,186522.0,0.0,18768682.0,186258.0,0.0,2952499.0,4301126.0,4134544.0,970898.0,0.0,0.0,9406568.0,61.0,11815597.0,-8138881.0,5685337.0,-148130.0,9362114.0,-3287935.0,9030008.0,1194999.0,7835009.0,1537812.0,3365727.0,0.0,6189639.0,2840369.0,-46493.0,2840369.0,-89242.0,2793876.0,203102.0,0.0,2590774.0,0.0,2590774.0
7,AMD,337000.0,170000.0,216000.0,-806000.0,207000.0,-151000.0,23000.0,34000.0,-163000.0,-78000.0,71000.0,-170000.0,0.0,0.0,-41000.0,-1000.0,28000.0,0.0,-108000.0,1078000.0,78000.0,1251000.0,845000.0,195000.0,3540000.0,58000.0,348000.0,289000.0,226000.0,95000.0,15000.0,4556000.0,1061000.0,136000.0,52000.0,1984000.0,1114000.0,192000.0,0.0,0.0,3290000.0,10000.0,-7436000.0,-58000.0,8750000.0,-8000.0,1266000.0,751000.0,6475000.0,3983000.0,2492000.0,1434000.0,562000.0,0.0,5979000.0,496000.0,-168000.0,496000.0,-121000.0,328000.0,-9000.0,0.0,337000.0,0.0,337000.0
8,AAP,423847.0,238184.0,61867.0,-21471.0,285493.0,-206125.0,29233.0,811028.0,-193715.0,0.0,0.0,-191827.0,-17819.0,0.0,32014.0,817.0,-263915.0,-5696.0,349590.0,896527.0,0.0,624972.0,4362547.0,198408.0,6082454.0,0.0,1368985.0,990237.0,550593.0,48379.0,0.0,9040648.0,3172790.0,210.0,269657.0,3885950.0,1045720.0,558165.0,0.0,0.0,5489835.0,8.0,3326155.0,-470147.0,694797.0,-44193.0,3550813.0,2009983.0,9580554.0,5354401.0,4226153.0,0.0,3475993.0,0.0,8868412.0,712142.0,-156878.0,712142.0,-56588.0,555264.0,131417.0,0.0,423847.0,0.0,423847.0
9,AES,1203000.0,1003000.0,397000.0,-206000.0,62000.0,-36000.0,1000.0,2417000.0,-2121000.0,-254000.0,-84000.0,-505000.0,-344000.0,0.0,-789000.0,-510000.0,-1643000.0,-54000.0,215000.0,1166000.0,313000.0,1758000.0,577000.0,1071000.0,5015000.0,1114000.0,21396000.0,1059000.0,436000.0,3501000.0,97000.0,32521000.0,1329000.0,1659000.0,304000.0,4399000.0,17636000.0,4822000.0,547000.0,2456000.0,26857000.0,8000.0,-1005000.0,-3949000.0,8154000.0,-2071000.0,3208000.0,1713000.0,10736000.0,8162000.0,2574000.0,0.0,202000.0,0.0,8364000.0,2372000.0,-315000.0,2372000.0,-1056000.0,2057000.0,708000.0,2456000.0,1349000.0,218000.0,1203000.0
